gps_time,utc_time,heading,pitch,roll,heading_radians,pitch_radians,roll_radians,gyroX,gyroY,gyroZ,accX,accY,accZ,latitude,longitude,altitude,utm_x_position,utm_y_position,local_x,local_y,east_speed,north_speed,vertical_speed,vehicle_lat_speed,vehicle_lon_speed,position_type,GNSS_info1,GNSS_info2
1675216696370.0,2023-02-01 09:58:16:372387,296.03999999999996,-0.29,0.35000000000000003,5.166872673694292,-0.00506145478776971,0.006108652330066892,0.0497,-0.037770000000000005,-0.034280000000000005,0.056908600000000004,0.2585828,9.7597024,31.034510209,121.43652744200001,15.165000000000001,350786.4726069516,3434476.2956875684,-469.60739304841263,696.885687568225,0.03,-0.04,0.0,0.009394695090318435,0.049109466543223075,50,5,188
1675216696390.0,2023-02-01 09:58:16:389343,296.03999999999996,-0.28,0.35000000000000003,5.166872673694292,-0.0048869218640535134,0.006108652330066892,0.11889000000000001,-0.04726,-0.08197,0.046010999999999996,0.2458036,9.768493,31.034510206,121.436527447,15.165000000000001,350786.47307951294,3434476.295348318,-469.6069204870728,696.885348317679,0.03,-0.04,0.0,0.009394695090318435,0.049109466543223075,50,5,188
1675216696410.0,2023-02-01 09:58:16:409378,296.03,-0.28,0.35000000000000003,5.166698140770576,-0.0048869218640535134,0.006108652330066892,0.020370000000000003,-0.062340000000000007,-0.037950000000000005,0.046540200000000004,0.2583378,9.754479,31.034510199000003,121.436527436,15.164,350786.47201866296,3434476.2945871754,-469.60798133705975,696.8845871752128,0.03,-0.04,0.0,0.009403266165963462,0.04910782611164993,50,5,188
1675216696430.0,2023-02-01 09:58:16:429754,296.03,-0.28,0.35000000000000003,5.166698140770576,-0.0048869218640535134,0.006108652330066892,0.031090000000000003,-0.07538,-0.03126,0.0373772,0.2651684,9.7566644,31.034510195000003,121.43652744100001,15.163,350786.4724896669,3434476.29413708,-469.6075103331241,696.884137080051,0.03,-0.05,0.0,0.005014849619119625,0.05809347022942954,50,5,188
1675216696450.0,2023-02-01 09:58:16:449756,296.03,-0.28,0.35000000000000003,5.166698140770576,-0.0048869218640535134,0.006108652330066892,0.02125,-0.07044,-0.012140000000000001,0.035868,0.2385124,9.777107200000001,31.034510190000002,121.436527447,15.163,350786.4730545562,3434476.293574795,-469.60694544384023,696.8835747949779,0.03,-0.05,0.0,0.005014849619119625,0.05809347022942954,50,5,188
1675216696470.0,2023-02-01 09:58:16:469688,296.03,-0.28,0.35000000000000003,5.166698140770576,-0.0048869218640535134,0.006108652330066892,-0.033120000000000004,-0.0757,-0.012100000000000001,0.045129,0.2611308,9.790288199999999,31.034510185000002,121.43652745300001,15.163,350786.473619448,3434476.29301251,-469.60638055199524,696.8830125099048,0.03,-0.06,0.0,0.0006264330722757887,0.06707911434720913,50,5,188
1675216696490.0,2023-02-01 09:58:16:489350,296.03,-0.29,0.34,5.166698140770576,-0.00506145478776971,0.005934119406350695,-0.016390000000000002,-0.07231,0.031100000000000003,0.041953800000000006,0.2642766,9.7951,31.03451018,121.43652746000001,15.163,350786.4742797899,3434476.2924488806,-469.60572021012194,696.8824488804676,0.03,-0.06,0.0,0.0006264330722757887,0.06707911434720913,50,5,188
1675216696510.0,2023-02-01 09:58:16:509674,296.03,-0.29,0.34,5.166698140770576,-0.00506145478776971,0.005934119406350695,-0.006410000000000001,-0.12146000000000001,0.060450000000000004,0.0504308,0.2505664,9.8019208,31.034510175,121.436527466,15.163,350786.4748446793,3434476.2918865965,-469.6051553207217,696.8818865963258,0.04,-0.06,0.0,0.009612077190055395,0.07146753089405297,50,5,188
1675216696530.0,2023-02-01 09:58:16:529334,296.03,-0.29,0.34,5.166698140770576,-0.00506145478776971,0.005934119406350695,-0.005540000000000001,-0.12004000000000001,-0.0019000000000000002,0.0593194,0.2629928,9.79265,31.034510166,121.436527474,15.163,350786.47559422965,3434476.2908782456,-469.60440577036934,696.880878245458,0.04,-0.07,0.0,0.005223660643211555,0.08045317501183258,50,5,188
1675216696550.0,2023-02-01 09:58:16:549260,296.03,-0.29,0.34,5.166698140770576,-0.00506145478776971,0.005934119406350695,0.01811,-0.10849,0.012060000000000001,0.0610736,0.2522912,9.8050078,31.034510153000003,121.436527483,15.163,350786.4764329884,3434476.289425171,-469.60356701159617,696.8794251708314,0.04,-0.07,0.0,0.005223660643211555,0.08045317501183258,50,5,188
1675216696570.0,2023-02-01 09:58:16:569670,296.03,-0.28,0.34,5.166698140770576,-0.0048869218640535134,0.005934119406350695,0.041310000000000006,-0.09083000000000001,-0.02273,0.0673162,0.2519482,9.8022932,31.034510139,121.43652749300001,15.163,350786.47736563516,3434476.2878599064,-469.6026343648555,696.8778599062935,0.04,-0.07,0.0,0.005223660643211555,0.08045317501183258,50,5,188
1675216696590.0,2023-02-01 09:58:16:589616,296.03,-0.28,0.33,5.166698140770576,-0.0048869218640535134,0.005759586482634498,0.09464,-0.07551000000000001,-0.037860000000000005,0.06953100000000001,0.2594452,9.7907096,31.034510125,121.43652750300001,15.163,350786.47829828184,3434476.286294642,-469.601701718173,696.8762946417555,0.04,-0.08,0.0,0.0008352440963677182,0.08943881912961218,50,5,188
1675216696610.0,2023-02-01 09:58:16:609699,296.03,-0.28,0.33,5.166698140770576,-0.0048869218640535134,0.005759586482634498,0.06762,-0.07806,-0.021910000000000002,0.06786500000000001,0.2564464,9.780498,31.034510103000002,121.436527498,15.162,350786.4777867256,3434476.2838627645,-469.6022132743965,696.8738627643324,0.05,-0.08,0.0,0.009820888214147325,0.09382723567645603,50,5,188
1675216696630.0,2023-02-01 09:58:16:629566,296.03,-0.28,0.33,5.166698140770576,-0.0048869218640535134,0.005759586482634498,0.14052,-0.024300000000000002,-0.02408,0.062671,0.2520462,9.7958154,31.034510096,121.436527502,15.162,350786.4781576001,3434476.283081475,-469.6018423999194,696.8730814750306,0.05,-0.08,0.0,0.009820888214147325,0.09382723567645603,50,5,188
1675216696650.0,2023-02-01 09:58:16:649698,296.03,-0.28,0.33,5.166698140770576,-0.0048869218640535134,0.005759586482634498,0.07181000000000001,-0.04578,-0.06115,0.0500682,0.2609152,9.7880244,31.03451008,121.436527513,15.162,350786.47918257484,3434476.2812931766,-469.6008174251765,696.8712931764312,0.05,-0.09,0.0,0.0054324716673034915,0.10281287979423562,50,5,188
1675216696670.0,2023-02-01 09:58:16:669773,296.03,-0.28,0.33,5.166698140770576,-0.0048869218640535134,0.005759586482634498,0.018170000000000002,-0.07015,-0.03416,0.0499604,0.2556134,9.788563400000001,31.034510063000003,121.436527525,15.162,350786.4803014399,3434476.279392692,-469.59969856013777,696.8693926916458,0.05,-0.09,0.0,0.0054324716673034915,0.10281287979423562,50,5,188
1675216696690.0,2023-02-01 09:58:16:689742,296.03,-0.28,0.33,5.166698140770576,-0.0048869218640535134,0.005759586482634498,0.041280000000000004,-0.11299000000000001,-0.05893,0.0454916,0.249312,9.7883184,31.034510046,121.436527537,15.162,350786.4814203049,3434476.2774922047,-469.59857969509903,696.867492204532,0.05,-0.09,0.0,0.0054324716673034915,0.10281287979423562,50,5,188
1675216696710.0,2023-02-01 09:58:16:709753,296.03,-0.28,0.33,5.166698140770576,-0.0048869218640535134,0.005759586482634498,-0.024880000000000003,-0.07718000000000001,-0.02959,0.033868800000000004,0.25494700000000003,9.780939,31.034510027000003,121.436527549,15.162,350786.4825360504,3434476.27537003,-469.5974639496417,696.8653700300492,0.05,-0.1,0.0,0.0010440551204596513,0.11179852391201524,50,5,188
1675216696730.0,2023-02-01 09:58:16:729261,296.03,-0.28,0.33,5.166698140770576,-0.0048869218640535134,0.005759586482634498,-0.00487,-0.03672,-0.00674,0.0486668,0.2681868,9.7792828,31.034510009,121.43652756200001,15.162,350786.48374880326,3434476.273357355,-469.59625119675184,696.8633573548868,0.06,-0.1,0.0,0.01002969923823925,0.11618694045885908,50,5,188
1675216696750.0,2023-02-01 09:58:16:749432,296.03,-0.28,0.33,5.166698140770576,-0.0048869218640535134,0.005759586482634498,-0.044230000000000005,-0.02832,-0.051100000000000007,0.0494508,0.2985472,9.7667976,31.034509989000004,121.43652757500001,15.162,350786.484958439,3434476.2711229906,-469.59504156099865,696.8611229904927,0.06,-0.11,0.0,0.005641282691395411,0.12517258457663866,50,5,188
1675216696770.0,2023-02-01 09:58:16:769427,296.02,-0.28,0.32,5.166523607846861,-0.0048869218640535134,0.005585053558918301,-0.08164,-0.046470000000000004,-0.08055000000000001,0.0429534,0.33217100000000005,9.7502356,31.034509968000002,121.436527588,15.162,350786.48616651003,3434476.268777781,-469.5938334899838,696.8587777810171,0.06,-0.11,0.0,0.00566312934251801,0.12517159808059458,50,5,188
1675216696790.0,2023-02-01 09:58:16:789740,296.02,-0.28,0.32,5.166523607846861,-0.0048869218640535134,0.005585053558918301,-0.11048000000000001,-0.00687,-0.06505000000000001,0.047098799999999996,0.35917,9.736398000000001,31.034509947000004,121.43652760200001,15.161,350786.4874700337,3434476.2664312287,-469.5925299663213,696.8564312285744,0.06,-0.12,0.0,0.0012762811532449556,0.13415800798468153,50,5,188
1675216696810.0,2023-02-01 09:58:16:809754,296.02,-0.29,0.32,5.166523607846861,-0.00506145478776971,0.005585053558918301,-0.22889,-0.017230000000000002,-0.08709,0.04157160000000001,0.40174119999999996,9.746149,31.034509925000002,121.43652760200001,15.161,350786.4874357181,3434476.263992634,-469.5925642818911,696.8539926339872,0.07,-0.12,0.0,0.0102626910573319,0.13854485617395457,50,5,188
1675216696830.0,2023-02-01 09:58:16:829662,296.02,-0.29,0.33,5.166523607846861,-0.00506145478776971,0.005759586482634498,-0.21592000000000003,0.024040000000000002,-0.11251000000000001,0.0329378,0.42089040000000005,9.740700200000001,31.034509913,121.43652761400001,15.16,350786.4885623822,3434476.2626463743,-469.5914376178407,696.8526463741437,0.07,-0.13,0.0,0.005875842868058846,0.1475312660780415,50,5,188
1675216696850.0,2023-02-01 09:58:16:849669,296.02,-0.3,0.33,5.166523607846861,-0.005235987711485907,0.005759586482634498,-0.22060000000000002,-0.0029300000000000003,-0.11203,0.0340158,0.44667419999999997,9.7547926,31.034509888000002,121.43652763,15.16,350786.49005056196,3434476.259853755,-469.5899494380574,696.8498537549749,0.07,-0.14,0.0,0.001488994678785785,0.15651767598212846,50,5,188
1675216696870.0,2023-02-01 09:58:16:869315,296.01,-0.3,0.33,5.166349074923144,-0.005235987711485907,0.005759586482634498,-0.25945,0.027070000000000004,-0.14466,0.0271166,0.4596102,9.751980000000001,31.034509862,121.436527647,15.16,350786.4916326294,3434476.256948946,-469.58836737059755,696.8469489458948,0.08,-0.14,0.0,0.010503487560223394,0.16090269341770586,50,5,188
1675216696890.0,2023-02-01 09:58:16:889645,296.01,-0.3,0.33,5.166349074923144,-0.005235987711485907,0.005759586482634498,-0.21730000000000002,0.023840000000000004,-0.15037,0.027146,0.49147,9.7558216,31.034509834,121.43652766400001,15.16,350786.49321157986,3434476.2538224477,-469.586788420158,696.8438224475831,0.08,-0.15,-0.01,0.0061182078621521835,0.16988986883435836,50,5,188
1675216696910.0,2023-02-01 09:58:16:909565,296.01,-0.31,0.33,5.166349074923144,-0.005410520635202104,0.005759586482634498,-0.26688,-0.022840000000000003,-0.15626,0.0353584,0.5181260000000001,9.7653766,31.034509805000003,121.436527682,15.16,350786.49488441815,3434476.2505837614,-469.5851155818673,696.8405837612227,0.08,-0.16,-0.01,0.0017329281640809518,0.17887704425101097,50,5,188
1675216696930.0,2023-02-01 09:58:16:929248,296.0,-0.32,0.33,5.166174541999428,-0.005585053558918301,0.005759586482634498,-0.26281000000000004,0.01627,-0.14149,0.0360738,0.5417341999999999,9.7539008,31.034509774000004,121.436527701,15.159,350786.4966495845,3434476.247122042,-469.5833504155162,696.8371220417321,0.09,-0.17,-0.01,0.0063683776532143105,0.19224839080227968,50,5,188
1675216696950.0,2023-02-01 09:58:16:949606,296.0,-0.32,0.33,5.166174541999428,-0.005585053558918301,0.005759586482634498,-0.24141,0.008650000000000001,-0.16351000000000002,0.0415128,0.5547976,9.764622000000001,31.034509742,121.436527721,15.159,350786.4985086387,3434476.243548132,-469.58149136131397,696.8335481318645,0.09,-0.18,-0.01,0.001984666579928171,0.20123633145773284,50,5,188
1675216696970.0,2023-02-01 09:58:16:969812,296.0,-0.33,0.33,5.166174541999428,-0.005759586482634498,0.005759586482634498,-0.28465,0.042280000000000005,-0.16071000000000002,0.0400428,0.5565126,9.7747356,31.034509708,121.43652774200001,15.159,350786.5004600234,3434476.2397511904,-469.5795399766066,696.8297511902638,0.1,-0.19,-0.01,0.006588896162095237,0.2146079831864722,50,5,188
1675216696990.0,2023-02-01 09:58:16:989736,295.99,-0.33,0.33,5.166000009075712,-0.005759586482634498,0.005759586482634498,-0.28200000000000003,0.062310000000000004,-0.15469000000000002,0.0394646,0.5657246,9.794169,31.034509672000002,121.436527763,15.159,350786.5024082861,3434476.2357325586,-469.57759171392536,696.8257325585,0.1,-0.2,-0.01,0.002244209905343214,0.22359553555896583,50,5,188
1675216697010.0,2023-02-01 09:58:17:009712,295.99,-0.34,0.33,5.166000009075712,-0.005934119406350695,0.005759586482634498,-0.25609000000000004,0.043550000000000005,-0.15510000000000002,0.0392196,0.5828844,9.788142,31.034509635000003,121.43652778600001,15.158,350786.5045458891,3434476.231600394,-469.57545411091996,696.8216003938578,0.1,-0.21,-0.01,-0.002137932409622359,0.23258424117943133,50,5,188
1675216697030.0,2023-02-01 09:58:17:029313,295.99,-0.34,0.33,5.166000009075712,-0.005934119406350695,0.005759586482634498,-0.22653,0.08936000000000001,-0.135,0.0419342,0.6122452,9.7754902,31.034509599000003,121.43652779000001,15.156,350786.504871532,3434476.227604595,-469.57512846804457,696.817604594864,0.11,-0.22,-0.01,0.0024686308958775383,0.2459550891148624,50,5,188
1675216697050.0,2023-02-01 09:58:17:049657,295.98,-0.35000000000000003,0.33,5.165825476151996,-0.006108652330066892,0.005759586482634498,-0.27204,0.07139000000000001,-0.15288000000000002,0.050283800000000003,0.6417236000000001,9.769345600000001,31.034509559000004,121.436527814,15.156,350786.50709990086,3434476.2231385526,-469.57290009915596,696.8131385524757,0.11,-0.23,-0.01,-0.0018690153042910662,0.25494412482305284,50,5,188
1675216697070.0,2023-02-01 09:58:17:069704,295.98,-0.35000000000000003,0.33,5.165825476151996,-0.006108652330066892,0.005759586482634498,-0.24896000000000001,0.031810000000000005,-0.1323,0.0520968,0.6807178,9.7669446,31.034509516000004,121.43652784000001,15.156,350786.50951449055,3434476.218337288,-469.5704855094664,696.8083372879773,0.12,-0.24,-0.01,0.002739881584217771,0.26831416855787626,50,5,188
1675216697090.0,2023-02-01 09:58:17:089722,295.98,-0.36,0.33,5.165825476151996,-0.0062831852537830885,0.005759586482634498,-0.30870000000000003,0.00621,-0.14884,0.052479,0.714469,9.7721288,31.034509471000003,121.436527866,15.156,350786.5119259582,3434476.2133143335,-469.5680740418029,696.8033143333159,0.13,-0.25,-0.01,0.007348778472726608,0.28168421229269985,50,5,188
1675216697110.0,2023-02-01 09:58:17:109631,295.97,-0.36,0.33,5.16565094322828,-0.0062831852537830885,0.005759586482634498,-0.30418,-0.01726,-0.13846,0.070658,0.7312956,9.7936594,31.034509424000003,121.43652789500001,15.155000000000001,350786.5146206516,3434476.208065658,-469.5653793484089,696.7980656577274,0.13,-0.26,-0.01,0.0030189371317756453,0.2906731601276499,50,5,188
1675216697130.0,2023-02-01 09:58:17:129661,295.97,-0.37,0.33,5.16565094322828,-0.0064577181774992855,0.005759586482634498,-0.31666000000000005,0.02799,-0.19078,0.0637784,0.737842,9.8150822,31.034509375000003,121.436527924,15.155000000000001,350786.5173122255,3434476.2025952926,-469.56268777453806,696.7925952924415,0.14,-0.27,-0.01,0.007630167462898366,0.30404239925459103,50,5,188
