gps_time,utc_time,heading,pitch,roll,heading_radians,pitch_radians,roll_radians,gyroX,gyroY,gyroZ,accX,accY,accZ,latitude,longitude,altitude,utm_x_position,utm_y_position,local_x,local_y,east_speed,north_speed,vertical_speed,vehicle_lat_speed,vehicle_lon_speed,position_type,GNSS_info1,GNSS_info2
1670234922530.0,2022-12-05 18:08:42:577090,202.17,-0.48,0.13,3.5285321187703524,-0.00837758033837745,0.0022689280083105596,-0.01173,-0.013500000000000002,0.01557,0.0234122,0.08162420000000001,9.778743799999999,31.030662707,121.44334952300001,16.069,351431.65427879756,3434040.676416972,175.57427879754687,261.2664169720374,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922550.0,2022-12-05 18:08:42:589850,202.17,-0.48,0.13,3.5285321187703524,-0.00837758033837745,0.0022689280083105596,-0.007970000000000001,0.010220000000000002,-0.02068,0.0216188,0.0794682,9.7842122,31.030662707,121.443349522,16.069,351431.6541833438,3434040.676418309,175.57418334379327,261.26641830895096,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922570.0,2022-12-05 18:08:42:609860,202.17,-0.48,0.13,3.5285321187703524,-0.00837758033837745,0.0022689280083105596,-0.019430000000000003,0.026080000000000002,0.014390000000000002,0.022736000000000003,0.0770672,9.7797042,31.030662707,121.443349522,16.069,351431.6541833438,3434040.676418309,175.57418334379327,261.26641830895096,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922590.0,2022-12-05 18:08:42:629898,202.17,-0.49,0.13,3.5285321187703524,-0.008552113262093647,0.0022689280083105596,-0.01974,-0.01451,-0.022600000000000002,0.022726200000000002,0.07701820000000001,9.7842122,31.030662707,121.443349521,16.069,351431.6540878925,3434040.676419646,175.57408789248439,261.2664196458645,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922610.0,2022-12-05 18:08:42:649767,202.17,-0.49,0.13,3.5285321187703524,-0.008552113262093647,0.0022689280083105596,-0.06058,-0.041740000000000006,0.00097,0.021658,0.0789586,9.79804,31.030662705,121.44334952400001,16.069,351431.6543711433,3434040.676193944,175.57437114330241,261.2661939440295,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922630.0,2022-12-05 18:08:42:669812,202.17,-0.49,0.13,3.5285321187703524,-0.008552113262093647,0.0022689280083105596,-0.05101000000000001,-0.0043300000000000005,-0.00067,0.0217168,0.08108520000000001,9.7963152,31.030662706,121.44334952300001,16.069,351431.6542772448,3434040.6763061266,175.5742772447993,261.26630612649024,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922650.0,2022-12-05 18:08:42:689865,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,-0.04181000000000001,-0.027750000000000004,-0.00038,0.0209034,0.081242,9.79461,31.030662706,121.44334952300001,16.069,351431.6542772448,3434040.6763061266,175.5742772447993,261.26630612649024,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922670.0,2022-12-05 18:08:42:709929,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,-0.00419,-0.005860000000000001,-0.00786,0.0217952,0.083594,9.7872208,31.030662706,121.443349522,16.069,351431.65418179106,3434040.6763074636,175.5741817910457,261.2663074634038,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922690.0,2022-12-05 18:08:42:729413,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,-0.00462,0.00657,-0.013240000000000002,0.0215698,0.0856324,9.788289,31.030662707,121.443349522,16.069,351431.6541833438,3434040.676418309,175.57418334379327,261.26641830895096,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922710.0,2022-12-05 18:08:42:749872,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,-0.08046,-0.03155,0.023280000000000002,0.0198842,0.08918000000000001,9.7921698,31.030662707,121.443349521,16.069,351431.6540878925,3434040.676419646,175.57408789248439,261.2664196458645,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922730.0,2022-12-05 18:08:42:769491,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,-0.022260000000000002,0.0125,0.012530000000000001,0.0212072,0.0882392,9.7980106,31.030662707,121.44334952000001,16.069,351431.6539924412,3434040.676420983,175.5739924411755,261.2664209827781,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922750.0,2022-12-05 18:08:42:789887,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,-0.02414,-0.007320000000000001,-0.01501,0.021020999999999998,0.0860636,9.798187,31.030662707,121.44334952000001,16.069,351431.6539924412,3434040.676420983,175.5739924411755,261.2664209827781,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922770.0,2022-12-05 18:08:42:809911,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,-0.00638,-0.03003,0.006350000000000001,0.020139,0.0858088,9.798481,31.030662708,121.44334951900001,16.069,351431.65389854007,3434040.6765331654,175.57389854005305,261.2665331652388,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922790.0,2022-12-05 18:08:42:829826,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,0.01527,0.012100000000000001,-0.023520000000000003,0.0166894,0.08401539999999999,9.7974618,31.030662708,121.443349518,16.069,351431.6538030888,3434040.6765345023,175.57380308880238,261.26653450215235,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922810.0,2022-12-05 18:08:42:849841,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,0.06051000000000001,0.021,0.01564,0.014435400000000001,0.08510319999999999,9.789768800000001,31.030662708,121.443349518,16.069,351431.6538030888,3434040.6765345023,175.57380308880238,261.26653450215235,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922830.0,2022-12-05 18:08:42:869868,202.17,-0.49,0.13,3.5285321187703524,-0.008552113262093647,0.0022689280083105596,0.00485,0.050890000000000005,-0.00851,0.0176204,0.08326080000000001,9.7834184,31.030662706,121.443349521,16.069,351431.65408633964,3434040.676308801,175.5740863396204,261.266308800783,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922850.0,2022-12-05 18:08:42:889989,202.17,-0.49,0.13,3.5285321187703524,-0.008552113262093647,0.0022689280083105596,-0.043530000000000006,0.00519,0.02069,0.0172578,0.08231020000000001,9.7763722,31.030662706,121.44334952000001,16.069,351431.6539908884,3434040.676310138,175.57399088836974,261.26631013769656,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922870.0,2022-12-05 18:08:42:909936,202.17,-0.49,0.13,3.5285321187703524,-0.008552113262093647,0.0022689280083105596,0.01631,-0.0119,0.018340000000000002,0.0173852,0.08274139999999999,9.7801452,31.030662707,121.44334951900001,16.069,351431.6538969874,3434040.6764223203,175.5738969873637,261.2664223201573,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922890.0,2022-12-05 18:08:42:929808,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,-0.0176,-0.028820000000000002,0.038360000000000005,0.0186592,0.0835254,9.787044400000001,31.030662707,121.44334951900001,16.069,351431.6538969874,3434040.6764223203,175.5738969873637,261.2664223201573,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922910.0,2022-12-05 18:08:42:949914,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,0.0069700000000000005,-0.00054,0.02,0.0243334,0.08127140000000001,9.7826442,31.030662707,121.443349518,16.069,351431.653801536,3434040.676423657,175.5738015359966,261.26642365707085,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922930.0,2022-12-05 18:08:42:969827,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,0.02578,-0.03508,-0.01609,0.0272734,0.08028160000000001,9.7894062,31.030662708,121.443349517,16.069,351431.653707635,3434040.6765358397,175.57370763499057,261.26653583953157,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922950.0,2022-12-05 18:08:42:989895,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,0.0029000000000000002,0.02458,0.01691,0.0256956,0.07987980000000001,9.794404199999999,31.030662708,121.443349517,16.069,351431.653707635,3434040.6765358397,175.57370763499057,261.26653583953157,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922970.0,2022-12-05 18:08:43:009869,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,0.014980000000000002,-0.02823,0.00923,0.027636,0.0806148,9.800421400000001,31.030662708,121.44334951600001,16.069,351431.65361218614,3434040.676537176,175.5736121861264,261.26653717597947,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234922990.0,2022-12-05 18:08:43:029952,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,-0.052230000000000006,0.006920000000000001,0.02102,0.027097,0.0806736,9.801666,31.030662709,121.44334951600001,16.069,351431.65361373895,3434040.6766480217,175.57361373893218,261.26664802152663,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234923010.0,2022-12-05 18:08:43:049842,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,0.02671,-0.004410000000000001,0.00265,0.0267148,0.0806932,9.793512400000001,31.030662709,121.44334951500001,16.069,351431.65351828514,3434040.6766493586,175.57351828512037,261.2666493584402,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234923030.0,2022-12-05 18:08:43:069951,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,0.04395,-0.025050000000000003,0.00532,0.0264012,0.0817124,9.7923462,31.030662706,121.44334951900001,16.069,351431.6538954346,3434040.6763114748,175.57389543455793,261.2663114746101,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234923050.0,2022-12-05 18:08:43:089845,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,0.009130000000000001,0.01678,-0.032150000000000005,0.0211386,0.0850542,9.794619800000001,31.030662707,121.443349518,16.069,351431.653801536,3434040.676423657,175.5738015359966,261.26642365707085,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234923070.0,2022-12-05 18:08:43:109874,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,-0.00108,-0.04462000000000001,-0.007070000000000001,0.019208,0.0868868,9.7854862,31.030662707,121.443349518,16.069,351431.653801536,3434040.676423657,175.5738015359966,261.26642365707085,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234923090.0,2022-12-05 18:08:43:129944,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,-0.00979,0.01305,-0.024380000000000002,0.0196686,0.0864654,9.7806744,31.030662707,121.443349517,16.069,351431.65370608226,3434040.676424994,175.573706082243,261.2664249939844,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234923110.0,2022-12-05 18:08:43:149909,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,-0.031030000000000002,-0.0069500000000000004,0.03203,0.018571,0.0874454,9.7861428,31.030662707,121.443349517,16.069,351431.65370608226,3434040.676424994,175.573706082243,261.2664249939844,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234923130.0,2022-12-05 18:08:43:169921,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,0.02917,-0.042,-0.00322,0.0174832,0.09010119999999999,9.7899844,31.030662708,121.44334951600001,16.069,351431.65361218614,3434040.676537176,175.5736121861264,261.26653717597947,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234923150.0,2022-12-05 18:08:43:189783,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,0.0009800000000000002,0.014820000000000002,-0.0089,0.0189924,0.087073,9.7916602,31.030662708,121.44334951500001,16.069,351431.6535167323,3434040.676538513,175.5735167322564,261.266538512893,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234923170.0,2022-12-05 18:08:43:209884,202.16,-0.49,0.12,3.5283575858466363,-0.008552113262093647,0.0020943950845943625,0.013750000000000002,-0.016050000000000002,-0.0204,0.0196294,0.0852306,9.7891906,31.030662708,121.44334951500001,16.069,351431.6535167323,3434040.676538513,175.5735167322564,261.266538512893,0.0,0.0,0.0,0.0,-0.0,50,5,188
1670234923190.0,2022-12-05 18:08:43:229401,202.17,-0.49,0.12,3.5285321187703524,-0.008552113262093647,0.0020943950845943625,-0.00559,-0.00792,0.01924,0.0231084,0.083055,9.7868288,31.030662709,121.443349514,16.069,351431.6534228338,3434040.6766506955,175.5734228338115,261.26665069535375,0.0,0.0,0.0,0.0,-0.0,50,5,188
