index,heading,local_x,local_y,longitude,latitude,altitude,s
1,191.32,4.695,2.207,121.443537675,31.030714871,16.402,0
180,192.4,4.107,2.081,121.443531537,31.030713658000003,16.405,0.6011738959487744
212,194.07,3.513,1.933,121.443525332,31.030712253,16.4,1.213647075208807
234,195.7,2.925,1.765,121.443519206,31.030710665,16.393,1.8243655260358576
254,196.86,2.348,1.593,121.443513179,31.030709033,16.388,2.4274857467631534
274,197.38,1.763,1.411,121.44350708,31.030707325,16.379,3.0397190895986905
294,197.12,1.188,1.237,121.443501088,31.030705678,16.374,3.640156423696778
315,196.92,0.605,1.059,121.443495001,31.030704000000004,16.369,4.2502783612458375
337,197.15,0.015,0.878,121.443488854,31.030702295,16.363,4.866768836897799
359,197.76,-0.56,0.697,121.443482856,31.030700587,16.361,5.469840655427316
381,198.28,-1.14,0.508,121.443476813,31.030698812,16.353,6.079349625096566
403,198.8,-1.71,0.31,121.443470867,31.030696954000003,16.351,6.683178354402452
425,199.05,-2.285,0.112,121.443464877,31.030695091,16.342,7.291145236818258
447,199.29,-2.859,-0.085,121.443458887,31.030693241,16.337,7.898624097078213
469,199.53,-3.436,-0.291,121.443452876,31.030691311,16.331,8.5110319806431
491,199.65,-4.007,-0.493,121.44344693,31.030689418,16.326,9.116195227065903
513,199.69,-4.573,-0.7,121.443441023,31.030687478,16.322,9.719704843779322
535,199.57,-5.142,-0.904,121.443435095,31.030685571000003,16.317,10.323798083246617
557,199.48,-5.708,-1.108,121.443429194,31.030683655,16.316,10.925828799463247
579,199.65,-6.278,-1.311,121.443423263,31.030681756000003,16.312,11.529880702248171
601,199.97,-6.849,-1.519,121.44341731,31.030679803,16.313,12.138006908280754
623,200.21,-7.416,-1.735,121.443411397,31.030677787,16.306,12.74510243722599
645,200.47,-7.985,-1.947,121.443405469,31.030675802,16.304000000000002,13.352275692704751
667,200.5,-8.554,-2.162,121.443399545,31.03067379,16.3,13.96018487493086
689,200.33,-9.124,-2.376,121.443393604,31.030671788000003,16.302,14.569199180207896
711,199.76,-9.688,-2.583,121.443387731,31.030669846,16.295,15.169756841609445
733,199.05,-10.259,-2.78,121.443381772,31.030667997,16.293,15.774413527730006
755,198.72,-10.83,-2.97,121.443375823,31.030666210000003,16.289,16.375873604988158
777,198.85,-11.406,-3.174,121.443369822,31.030664301,16.288,16.986576689925737
799,199.03,-11.978,-3.375,121.443363856,31.030662419,16.285,17.593110704964012
821,199.27,-12.557,-3.575,121.443357817,31.030660539000003,16.281,18.206117463863524
843,199.26,-13.131,-3.776,121.443351837,31.030658654000003,16.279,18.81402082563004
865,199.25,-13.701,-3.977,121.443345893,31.030656769000004,16.28,19.418698153878786
887,199.19,-14.273,-4.176,121.443339931,31.030654901,16.279,20.024341284538085
909,199.14,-14.847,-4.372,121.443333948,31.030653059,16.278,20.630892307570726
931,198.97,-15.417,-4.571,121.443328012,31.030651198,16.277,21.23393773804726
953,198.89,-15.993,-4.766,121.443322003,31.030649365,16.277,21.842492616339342
