index,heading,local_x,local_y,longitude,latitude,altitude,s
1,203.23,191.027,266.765,121.443510575,31.030714260000003,16.154,0
280,203.08,190.468,266.535,121.443504749,31.030712113000003,16.141000000000002,0.6049459905804772
314,202.9,189.891,266.303,121.443498747,31.030709946,16.134,1.2262273420253489
340,202.76,189.333,266.082,121.443492936,31.030707881,16.132,1.8263311269133382
362,202.62,188.773,265.861,121.443487102,31.030705821,16.132,2.4282545932526207
382,202.47,188.187,265.633,121.443480993,31.030703685,16.132,3.057667396486422
400,202.31,187.597,265.406,121.443474844,31.03070156,16.133,3.6901646121353586
416,202.16,187.024,265.187,121.443468876,31.030699516,16.127,4.30328507186803
431,202.08,186.444,264.965,121.443462839,31.030697437,16.125,4.9239610753970995
445,201.99,185.864,264.746,121.443456788,31.030695394,16.121,5.544410359618356
458,201.9,185.298,264.531,121.443450898,31.030693384000003,16.119,6.149219542969445
471,201.77,184.703,264.307,121.443444692,31.030691289000004,16.114,6.785548574570311
483,201.65,184.128,264.092,121.443438704,31.030689273000004,16.108,7.39930653668114
495,201.56,183.525,263.87,121.443432423,31.030687194,16.105,8.041668125940063
506,201.49,182.957,263.66,121.443426498,31.030685230000003,16.106,8.64773424043095
517,201.4,182.372,263.445,121.443420403,31.030683219000004,16.104,9.270817966748716
528,201.29,181.769,263.223,121.443414125,31.030681141,16.101,9.91287250526058
539,201.21,181.152,262.998,121.443407693,31.030679033,16.099,10.56984612275946
549,201.16,180.582,262.792,121.44340175,31.030677104,16.097,11.176136885918005
559,201.09,180.003,262.582,121.443395717,31.030675133000003,16.094,11.79211065676305
569,201.01,179.419,262.37,121.443389636,31.030673147,16.093,12.412958469478967
579,200.93,178.823,262.156,121.443383422,31.030671141000003,16.089,13.046468457207206
589,200.85,178.218,261.942,121.443377119,31.030669131000003,16.089,13.688094683894287
599,200.82,177.606,261.725,121.443370741,31.030667096,16.091,14.33739739318051
609,200.82,176.986,261.504,121.443364274,31.030665028,16.088,14.995938093067739
619,200.9,176.359,261.281,121.443357736,31.030662935,16.082,15.66179744204208
628,200.95,175.787,261.078,121.443351784,31.030661031,16.079,16.267921684474537
637,200.99,175.209,260.871,121.44334576,31.030659096,16.079,16.88168622278681
646,200.99,174.626,260.663,121.443339676,31.030657146000003,16.077,17.501398582489525
655,200.96,174.037,260.452,121.443333541,31.030655168000003,16.073,18.126757592275844
664,200.92,173.444,260.241,121.443327362,31.030653185,16.071,18.75624532621836
673,200.91,172.849,260.028,121.443321157,31.030651188,16.068,19.388601058173197
