index,heading,local_x,local_y,longitude,latitude,altitude,s
1,199.88,189.649,265.67,121.443496298,31.030704206000003,16.354,0
338,199.0,189.076,265.484,121.443490322,31.030702454000004,16.347,0.6026324723061842
384,198.3,188.502,265.303,121.443484336,31.030700747,16.346,1.2045819244697002
411,198.31,187.925,265.12,121.443478323,31.030699022,16.346,1.8096064333455968
435,198.97,187.35,264.929,121.443472332,31.030697234,16.348,2.414889717971082
459,199.66,186.771,264.731,121.443466296,31.030695371,16.346,3.0269885168641393
484,200.01,186.183,264.521,121.443460165,31.030693407,16.348,3.6514468943100216
509,200.15,185.6,264.318,121.443454089,31.030691497000003,16.348,4.268908801166616
534,200.21,185.024,264.116,121.443448086,31.030689605000003,16.349,4.879140531710866
559,200.28,184.444,263.913,121.443442042,31.030687699,16.344,5.493581183075711
583,200.33,183.876,263.711,121.44343612,31.030685809,16.342,6.096480403410859
607,200.41,183.3,263.512,121.443430117,31.030683934,16.341,6.706067011211536
631,200.44,182.72,263.303,121.44342407,31.030681983,16.344,7.322509102970484
655,200.57,182.133,263.101,121.443417956,31.030680080000003,16.343,7.943115714861192
678,200.63,181.569,262.895,121.44341208,31.030678153,16.34,8.543346882386505
701,200.75,180.997,262.691,121.44340611,31.030676238,16.338,9.15150666215494
724,200.84,180.431,262.485,121.443400216,31.030674308,16.34,9.75346208765345
747,201.38,179.862,262.275,121.44339429,31.030672348000003,16.339,10.359458240345344
770,202.24,179.296,262.055,121.443388394,31.030670289000003,16.34,10.966820521452354
793,204.25,178.745,261.816,121.443382649,31.030668065,16.34,11.568114935769842
816,207.53,178.203,261.554,121.443377014,31.030665634,16.339,12.16977013433497
839,211.39,177.676,261.247,121.443371537,31.030662794,16.335,12.780083705153368
862,215.25,177.17,260.902,121.443366286,31.030659619,16.334,13.392579315419876
885,218.85,176.685,260.529,121.443361268,31.030656198000003,16.329,14.003551510228002
908,222.25,176.223,260.122,121.443356483,31.030652464000003,16.327,14.619987809493075
931,225.24,175.777,259.694,121.443351872,31.030648547,16.324,15.238292968372791
954,227.86,175.353,259.236,121.443347499,31.030644366,16.324,15.8620625550907
976,229.4,174.953,258.786,121.443343375,31.030640254,16.321,16.464371347292754
998,229.66,174.556,258.317,121.443339286,31.030635978000003,16.317,17.078424693240446
1020,228.33,174.149,257.868,121.443335095,31.03063187,16.31,17.684600154124983
1042,226.42,173.726,257.431,121.443330725,31.030627883,16.303,18.292363649932692
1065,224.34,173.274,257.004,121.443326056,31.030623966,16.295,18.914622681795883
1088,221.82,172.807,256.587,121.443321223,31.030620152,16.288,19.54041942039553
1111,218.51,172.317,256.2,121.443316148,31.030616594,16.281,20.16514311647136
1134,214.3,171.802,255.857,121.443310806,31.030613441000003,16.276,20.783386436543427
1157,208.86,171.271,255.559,121.443305289,31.030610687000003,16.273,21.39213795861382
1180,202.54,170.714,255.325,121.443299484,31.030608501000003,16.27,21.99696125403126
1203,195.94,170.134,255.155,121.44329344,31.030606895,16.269000000000002,22.600774311689005
1226,189.58,169.539,255.061,121.443287222,31.030605977,16.27,23.20301461981157
1249,183.6,168.938,255.024,121.443280931,31.030605563,16.268,23.805314339459926
1272,178.93,168.328,255.035,121.443274536,31.030605589,16.271,24.415797782864203
1295,175.87,167.709,255.079,121.443268051,31.030605906,16.271,25.035862553087064
1318,174.39,167.09,255.143,121.44326155,31.030606400000003,16.274,25.658869627869468
1340,173.96999999999997,166.485,255.205,121.443255203,31.030606883,16.274,26.26712534193787
1362,174.32,165.885,255.272,121.443248918,31.030607411,16.272000000000002,26.869949544523035
1384,174.7,165.279,255.334,121.443242553,31.030607900000003,16.27,27.479975657815555
1406,175.45,164.671,255.395,121.44323618,31.030608368000003,16.267,28.090560236237753
1428,176.45,164.064,255.444,121.443229812,31.030608734,16.264,28.699811895980872
1450,177.89999999999998,163.459,255.477,121.443223472,31.030608954,16.259,29.305529316702074
1473,179.67000000000002,162.845,255.49,121.443217042,31.030608995,16.259,29.919363927571354
1496,181.83,162.232,255.487,121.443210621,31.030608888000003,16.259,30.532437316669085
1519,184.16,161.621,255.46,121.443204228,31.03060857,16.267,31.143740320596134
1542,187.14,161.013,255.396,121.443197862,31.030607915,16.275,31.75577105322065
1565,190.06,160.406,255.301,121.443191515,31.03060698,16.28,32.37046731728251
1588,192.99,159.793,255.171,121.443185116,31.030605731,16.288,32.9968210379238
1611,195.03,159.183,255.025,121.44317875,31.030604343,16.293,33.62370594193678
1633,196.07,158.582,254.861,121.443172474,31.030602785000003,16.296,34.24722081314459
1655,196.99,157.998,254.7,121.443166386,31.03060126,16.304000000000002,34.852479596216035
1678,197.52,157.402,254.522,121.44316017,31.030599578,16.31,35.47447456921083
1701,197.38,156.82,254.326,121.443154098,31.030597732,16.321,36.08918022885489
1723,197.23,156.233,254.155,121.44314798,31.030596121,16.329,36.69990889279331
1745,197.25,155.634,253.992,121.443141726,31.030594575,16.335,37.32103775050283
1767,197.53,155.032,253.806,121.443135452,31.030592821000003,16.332,37.95073576006631
1789,198.03,154.43,253.629,121.443129173,31.030591143,16.328,38.57833929915934
1811,198.73,153.844,253.443,121.443123055,31.030589397000004,16.324,39.19361068294797
1833,199.45,153.267,253.253,121.443117045,31.030587604,16.322,39.80078993652692
1856,199.98,152.676,253.051,121.44311088,31.030585708,16.319,40.42571656242282
1878,200.4,152.108,252.854,121.443104966,31.030583862,16.316,41.02622071075481
1900,200.77,151.545,252.646,121.443099091,31.030581916000003,16.318,41.62711619990264
1923,200.89,150.956,252.437,121.443092954,31.030579953,16.315,42.25207355683996
1945,200.8,150.388,252.229,121.44308704,31.030578009000003,16.314,42.856366254374194
1967,200.61,149.816,252.025,121.443081077,31.030576098,16.312,43.46374570727966
1989,200.46,149.244,251.827,121.443075114,31.030574237000003,16.308,44.069214208145425
2011,200.39,148.665,251.628,121.443069074,31.030572366,16.303,44.68197287665105
2033,200.3,148.089,251.425,121.443063075,31.030570463000004,16.3,45.29226722512608
2055,200.15,147.516,251.224,121.443057104,31.03056858,16.295,45.89928814929389
2077,199.85,146.943,251.026,121.44305113,31.030566724000003,16.291,46.50555571333519
2099,199.52,146.371,250.833,121.443045164,31.030564909,16.289,47.109575809714485
2121,199.46,145.8,250.645,121.443039211,31.030563143,16.287,47.71063481712804
2143,199.47,145.23,250.454,121.443033268,31.030561344,16.286,48.31199461961234
2166,199.73,144.637,250.254,121.443027088,31.030559471000004,16.285,48.93741902595468
2188,200.08,144.069,250.056,121.443021165,31.030557606,16.285,49.53945120184504
2210,200.38,143.501,249.857,121.443015246,31.030555742,16.284,50.14108669900103
2232,200.66,142.929,249.651,121.443009291,31.030553808,16.284,50.74864565463408
2254,200.92,142.359,249.446,121.443003346,31.030551892,16.284,51.35460921266587
2276,200.93,141.789,249.235,121.442997407,31.030549915,16.283,51.96244173310612
2298,200.86,141.214,249.031,121.442991411,31.030547999000003,16.283,52.57296736827995
2320,200.65,140.639,248.828,121.442985423,31.030546099,16.28,53.18216156790631
2342,200.52,140.068,248.628,121.442979475,31.030544225000003,16.278,53.78677786595795
2364,200.41,139.503,248.427,121.442973584,31.030542336000003,16.275,54.38686529699508
2386,200.36,138.931,248.23,121.442967621,31.030540488000003,16.275,54.99184448763354
2408,200.29,138.361,248.025,121.442961676,31.030538571,16.275,55.59784699443631
2430,200.18,137.788,247.827,121.442955704,31.030536711000003,16.272000000000002,56.20408583112387
2452,200.1,137.216,247.628,121.442949748,31.030534847,16.269000000000002,56.809039892155894
2475,200.22,136.628,247.422,121.442943617,31.030532909,16.269000000000002,57.432500239801065
2497,200.52,136.059,247.226,121.442937685,31.030531071,16.265,58.03431962918039
2519,200.66,135.489,247.023,121.442931742,31.030529165,16.266000000000002,58.639716728715776
2541,200.82,134.922,246.814,121.442925835,31.030527213000003,16.266000000000002,59.24370265390124
2563,200.85,134.349,246.612,121.442919863,31.030525316,16.262,59.85134884886354
2585,200.91,133.783,246.41,121.442913962,31.03052342,16.262,60.45260192407392
2607,201.07,133.214,246.204,121.442908039,31.030521496,16.261,61.05691163949745
2629,201.05,132.649,245.994,121.442902153,31.030519528000003,16.261,61.659666133849086
2651,200.89,132.076,245.785,121.442896178,31.030517574,16.258,62.26979570664869
2673,200.68,131.492,245.582,121.442890093,31.030515664000003,16.256,62.888065870288735
2695,200.37,130.912,245.375,121.44288404,31.030513728000003,16.251,63.50446448653794
2717,200.2,130.343,245.174,121.44287811,31.030511841000003,16.247,64.10796558697966
2739,200.04,129.773,244.979,121.442872175,31.030510008,16.243000000000002,64.70986723671358
2762,199.93,129.179,244.781,121.442865978,31.030508144,16.241,65.33649330507575
2784,199.81,128.608,244.583,121.442860024,31.030506288,16.239,65.94096566932065
2806,199.91,128.026,244.39,121.442853961,31.030504476,16.237000000000002,66.55361573780606
2828,200.01,127.452,244.192,121.442847974,31.030502617000003,16.233,67.16116393032725
2851,200.17,126.862,243.987,121.442841824,31.030500692,16.232,67.78583370187725
2874,200.27,126.272,243.782,121.442835674,31.030498771,16.229,68.41035214333056
2897,200.42,125.691,243.587,121.442829617,31.030496934,16.231,69.02337623588332
2920,200.32,125.114,243.382,121.442823604,31.030495019000004,16.229,69.63538547263987
2942,200.03,124.535,243.191,121.442817571,31.030493218000004,16.226,70.24493029442387
2964,199.49,123.957,242.992,121.442811541,31.030491351,16.223,70.85664112485706
2986,198.92,123.376,242.8,121.442805483,31.030489542,16.219,71.46873134453564
3008,198.34,122.792,242.613,121.442799399,31.030487785,16.219,72.0813099534482
3030,197.78,122.214,242.445,121.442793366,31.030486197,16.216,72.68353418730209
3052,197.05,121.636,242.272,121.442787345,31.030484567,16.212,73.2860429507174
3074,196.4,121.058,242.113,121.442781309,31.030483056,16.213,73.88610258586186
3097,195.92,120.463,241.96,121.442775098,31.030481605,16.22,74.50044665810171
3119,195.6,119.881,241.811,121.442769023,31.030480185,16.22,75.10136108965011
3141,195.16,119.289,241.66,121.442762844,31.030478749,16.228,75.71232212901037
3163,194.65,118.706,241.515,121.442756757,31.030477365000003,16.223,76.31331102248323
3186,194.44,118.096,241.372,121.44275039,31.030476,16.225,76.93966850553797
3208,193.54,117.507,241.247,121.442744243,31.030474797000004,16.226,77.54143476768195
3230,192.33,116.918,241.128,121.442738094,31.030473652,16.227,78.14199549215616
3252,190.87,116.317,241.033,121.442731807,31.030472718,16.226,78.75102891534584
