index,heading,local_x,local_y,longitude,latitude,altitude,s
1,197.37,186.43,264.48,121.443462759,31.030693069,16.323,0
165,199.2,185.861,264.271,121.443456829,31.030691104,16.317,0.606551349851858
208,197.99,185.276,264.084,121.443450733,31.030689344,16.314,1.220320495807994
237,197.68,184.679,263.906,121.443444503,31.030687664,16.308,1.8435237174501111
259,197.4,184.085,263.727,121.443438308,31.030685978,16.306,2.4637394003459967
279,197.44,183.503,263.554,121.44343224,31.030684338,16.302,3.070859577289788
299,197.46,182.919,263.378,121.443426148,31.030682677,16.3,3.680864751967704
320,197.54,182.327,263.198,121.443419966,31.030680980000003,16.299,4.30026653813633
342,197.63,181.727,263.015,121.443413715,31.030679253,16.294,4.926955181576678
364,197.85,181.142,262.836,121.443407614,31.030677565,16.291,5.5386884452344285
386,197.9,180.565,262.654,121.44340159,31.030675853,16.286,6.144256244414734
408,197.97,179.991,262.472,121.443395612,31.030674136,16.284,6.745830771107327
430,197.77,179.415,262.295,121.443389602,31.030672473000003,16.281,7.3484457267876255
452,197.6,178.838,262.119,121.44338358,31.030670809000004,16.283,7.952185275188965
474,197.54,178.254,261.947,121.443377489,31.030669183,16.281,8.560939419132051
496,197.54,177.665,261.763,121.443371354,31.030667451000003,16.278,9.177265715801253
518,197.7,177.081,261.589,121.443365257,31.030665805,16.272000000000002,9.78722656588307
541,198.27,176.482,261.402,121.443359011,31.030664047,16.264,10.414519963862919
563,198.95,175.91,261.22,121.44335305,31.030662327,16.262,11.014660892689793
585,199.46,175.336,261.024,121.443347059,31.030660487,16.263,11.621856523436762
607,199.61,174.76,260.82,121.443341057,31.030658575,16.261,12.23276449595594
629,199.46,174.179,260.622,121.443335001,31.030656717000003,16.262,12.846474910566226
651,199.33,173.605,260.428,121.443329021,31.030654894,16.258,13.452050117143383
673,199.17,173.027,260.23,121.443322992,31.030653041,16.255,14.06314665991981
695,199.1,172.437,260.044,121.443316838,31.030651283,16.252,14.682098286308399
717,198.9,171.85,259.85,121.44331072,31.030649463000003,16.254,15.299998984385464
739,198.92,171.264,259.663,121.443304611,31.030647702000003,16.252,15.914980337237486
761,198.96,170.683,259.467,121.443298551,31.030645856000003,16.251,16.528605613610537
783,199.16,170.099,259.282,121.443292468,31.030644112,16.251,17.140635953628188
805,199.37,169.515,259.073,121.443286376,31.030642155,16.257,17.76133498554447
826,199.65,168.936,258.872,121.44328034,31.030640274000003,16.262,18.37411027384872
848,199.95,168.348,258.669,121.443274214,31.030638363,16.258,18.996096098129694
870,200.36,167.773,258.457,121.443268219,31.030636378,16.257,19.609235088940384
892,200.44,167.193,258.246,121.443262179,31.030634403,16.263,20.22599121050542
914,200.41,166.61,258.041,121.443256104,31.030632482,16.258,20.843783097495503
935,200.27,166.04,257.838,121.44325016,31.03063058,16.258,21.44911443529257
957,200.13,165.455,257.623,121.443244067,31.030628566,16.264,22.072139325861496
979,200.01,164.866,257.428,121.443237923,31.030626729,16.264,22.693002235260714
1001,199.85,164.279,257.233,121.443231805,31.030624903000003,16.26,23.31112059148703
1023,199.73,163.708,257.035,121.443225856,31.03062304,16.257,23.915408209866474
1045,199.56,163.117,256.83,121.443219688,31.030621117000003,16.25,24.541616903868736
1068,199.38,162.523,256.635,121.443213498,31.030619284000004,16.253,25.16648548510406
1091,199.07,161.936,256.429,121.443207383,31.030617348000003,16.258,25.788435136558174
1114,198.93,161.345,256.238,121.443201222,31.030615552,16.266000000000002,26.409359158575118
1136,198.8,160.757,256.04,121.443195086,31.030613696000003,16.272000000000002,27.030195602059873
1158,198.9,160.181,255.858,121.443189083,31.030611982000003,16.284,27.633930178442984
1180,198.84,159.602,255.659,121.443183043,31.030610109,16.295,28.246763691188388
1202,198.95,159.026,255.471,121.443177036,31.030608343,16.306,28.85269856454008
1224,199.41,158.441,255.274,121.443170937,31.030606492,16.321,29.470019228522897
1247,200.24,157.874,255.076,121.443165032,31.030604635000003,16.336000000000002,30.07013279856461
1269,200.89,157.303,254.861,121.443159083,31.030602620000003,16.345,30.68038480753063
1291,201.31,156.751,254.609,121.443153338,31.030600284,16.35,31.286876111978508
1312,201.49,156.17,254.428,121.443147281,31.030598573,16.361,31.895402171583452
1333,201.92,155.593,254.209,121.443141272,31.030596528,16.368000000000002,32.51220253886529
1354,202.19,155.023,253.969,121.443135328,31.030594292000004,16.37,33.13140432304037
1375,202.37,154.463,253.745,121.443129501,31.030592196,16.377,33.734237182747066
1397,202.29,153.895,253.515,121.443123585,31.030590047,16.371,34.34717801804679
1419,202.13,153.322,253.296,121.443117617,31.030588007,16.366,34.96013543468964
1441,201.97,152.761,253.083,121.443111771,31.030586014,16.363,35.56034614849375
1463,201.76,152.198,252.866,121.443105902,31.030583982000003,16.369,36.164198292741
1485,201.61,151.618,252.65,121.443099861,31.030581962000003,16.37,36.78283216705638
1507,201.43,151.043,252.439,121.443093872,31.030579986000003,16.369,37.39507926603617
1529,201.27,150.468,252.229,121.443087881,31.030578021,16.366,38.0070695658082
1551,201.03,149.899,252.009,121.443081946,31.030575962,16.373,38.61788412202634
1573,200.87,149.306,251.816,121.443075767,31.030574146000003,16.371,39.241148825500254
1595,200.65,148.725,251.609,121.443069705,31.030572208,16.365000000000002,39.858429668931606
1617,200.57,148.136,251.404,121.443063575,31.030570279000003,16.357,40.48145701846894
1639,200.45,147.567,251.194,121.443057641,31.030568313000003,16.351,41.08840531343887
1661,200.35,146.986,250.989,121.443051588,31.030566398,16.344,41.70399691342599
1683,200.08,146.411,250.787,121.443045595,31.030564495000004,16.35,42.313753870406586
1705,199.94,145.834,250.598,121.443039579,31.03056272,16.353,42.920824823893
1727,199.89,145.256,250.411,121.443033554,31.030560966000003,16.352,43.527959060415746
1750,200.15,144.663,250.206,121.443027372,31.030559038000003,16.352,44.1556134875858
1773,200.52,144.071,249.997,121.443021204,31.030557081,16.359,44.78311568927025
1796,201.01,143.486,249.812,121.443015095,31.030555332,16.35,45.39767665725162
1819,201.5,142.9,249.598,121.443008996,31.030553333,16.349,46.02064335265585
1842,201.93,142.312,249.389,121.443002863,31.030551367,16.34,46.64535890132771
1864,202.13,141.747,249.183,121.442996979,31.03054944,16.344,47.24630460864116
1887,202.34,141.163,248.97,121.44299089,31.030547443000003,16.34,47.86830031087876
1909,202.27,140.594,248.767,121.442984965,31.030545548000003,16.331,48.47166170525605
1932,202.25,140.014,248.549,121.442978916,31.030543506,16.326,49.09189373350632
1955,202.19,139.439,248.358,121.442972927,31.030541706,16.307,49.69743466049703
1977,202.15,138.871,248.138,121.442967009,31.030539656,16.299,50.30637141655701
2000,202.09,138.286,247.918,121.442960911,31.03053759,16.306,50.931929927931265
2022,202.06,137.718,247.714,121.442954987,31.030535684,16.302,51.535627602982885
2045,202.06,137.144,247.518,121.442949003,31.030533841,16.287,52.14230658935181
2068,202.09,136.562,247.303,121.442942941,31.030531832,16.299,52.76237093538796
2090,201.98,135.995,247.102,121.442937031,31.030529941,16.309,53.36423571333905
2112,201.77,135.427,246.891,121.442931114,31.03052797,16.311,53.96986967279496
2134,201.44,134.848,246.682,121.442925084,31.030526012000003,16.311,54.58506668778279
2157,201.17,134.273,246.473,121.442919091,31.030524053,16.293,55.19699938533445
2179,201.29,133.69,246.267,121.442913008,31.030522121,16.303,55.81592982398356
2201,201.3,133.113,246.052,121.442907005,31.030520106,16.29,56.43098241491224
2223,201.38,132.533,245.843,121.442900959,31.030518149,16.324,57.04756986164865
2245,201.4,131.954,245.628,121.442894927,31.030516137000003,16.339,57.665082458226685
2267,201.44,131.377,245.406,121.442888906,31.030514063,16.339,58.2841356093788
2289,201.44,130.813,245.194,121.442883038,31.030512077,16.313,58.88601568693526
2311,201.4,130.239,244.995,121.442877047,31.030510210000003,16.302,59.49422426651842
2333,201.03,129.673,244.786,121.442871152,31.030508255,16.301000000000002,60.097260391274524
2355,200.77,129.104,244.581,121.442865229,31.030506332,16.312,60.701531084934224
2377,200.4,128.531,244.391,121.442859248,31.030504549000003,16.293,61.305732133674695
2399,200.19,127.957,244.206,121.442853265,31.030502803,16.272000000000002,61.9087846684965
2421,200.0,127.384,244.023,121.442847287,31.030501088,16.284,62.510290175266924
2444,199.96,126.802,243.839,121.442841224,31.030499349000003,16.236,63.12033488339013
2467,199.76,126.209,243.653,121.442835038,31.030497594000003,16.221,63.74208351076318
2490,199.73,125.613,243.461,121.442828826,31.030495791000003,16.235,64.36786915400344
2512,199.49,125.033,243.266,121.442822771,31.030493961,16.251,64.98045576934238
2534,199.58,124.451,243.077,121.442816711,31.030492178000003,16.249,65.59178839465616
2556,199.61,123.874,242.89,121.442810687,31.030490424000003,16.256,66.19883265014359
